2025-12-22T20:19:46.332617+0100 | INFO | Starting application...
2025-12-22T20:19:46.338991+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:19:46.436267+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:23:20.692932+0100 | INFO | Starting application...
2025-12-22T20:23:20.699082+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:23:20.802740+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:23:33.864739+0100 | INFO | Starting application...
2025-12-22T20:23:33.871196+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:23:33.872825+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:23:33.876568+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:23:41.609327+0100 | INFO | Starting application...
2025-12-22T20:23:41.615845+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:23:41.616884+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:23:41.620908+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:25:33.799134+0100 | INFO | Starting application...
2025-12-22T20:25:33.805778+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:25:33.806829+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:25:33.830085+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:26:13.348898+0100 | INFO | Starting application...
2025-12-22T20:26:13.355360+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:26:13.356678+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:26:13.451714+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:26:24.734345+0100 | INFO | Starting application...
2025-12-22T20:26:24.739837+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:26:24.741127+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:26:24.744782+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:26:52.887637+0100 | INFO | Starting application...
2025-12-22T20:26:52.894089+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:26:52.895226+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:26:52.918784+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:27:20.260355+0100 | INFO | Starting application...
2025-12-22T20:27:20.271254+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:27:20.272516+0100 | INFO | Login attempt from testclient - user=admin
2025-12-22T20:27:20.379646+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:27:20.405157+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:27:20.406407+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:27:20.411747+0100 | WARNING | Blocked IP: 8.8.8.8
2025-12-22T20:27:53.513707+0100 | INFO | Starting application...
2025-12-22T20:27:53.521766+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:27:53.523071+0100 | INFO | Login attempt from testclient - user=admin
2025-12-22T20:27:53.527729+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:27:53.532596+0100 | INFO | Allowed IP: 192.168.1.10
2025-12-22T20:27:53.533606+0100 | INFO | Login attempt from testclient - user=testuser
2025-12-22T20:27:53.556727+0100 | WARNING | Blocked IP: 8.8.8.8
